Country or area,Urban Agglomeration,Latitude,Longitude,Population (in thousands),Country Code,proportion dirty fuel,estimated population burning dirty fuels,proportion electricity access,proportion below $1 per day,estimated addressable population
Venezuela (Bolivarian Republic of),Cabimas,10.3883,-71.4399,578,VEN,0.005,2890.0,1.0,0.0337519616566383,2792
Uzbekistan,Namangan,40.9983,71.6726,529,UZB,0.008,4232.0,1.0,0.3432346480816828,2779
Ukraine,Sevastopol,44.5888,33.5224,395,UKR,0.006999999999999999,2765.0,1.0,0.0,2765
Colombia,Armenia,4.5339,-75.6811,410,COL,0.006999999999999999,2870.0,1.0,0.04991105651543679,2727
Iran (Islamic Republic of),Sanandaj,35.3144,46.9923,445,IRN,0.006,2670.0,1.0,0.0005627069160749399,2668
Ukraine,Vinnitsa,49.2328,28.481,375,UKR,0.006999999999999999,2625.0,1.0,0.0,2625
Slovakia,Bratislava,48.1482,17.1067,435,SVK,0.006,2610.0,1.0,0.000143133082162666,2610
Brazil,Vale do Aço,-19.9405,-43.9354,522,BRA,0.005,2610.0,1.0,0.0042300844605159,2599
Colombia,Pasto,1.2136,-77.2811,388,COL,0.006999999999999999,2716.0,1.0,0.04991105651543679,2580
Brazil,Pôrto Velho,-8.7619,-63.9039,510,BRA,0.005,2550.0,1.0,0.0042300844605159,2539
Iran (Islamic Republic of),Qazvin,36.2688,50.0041,420,IRN,0.006,2520.0,1.0,0.0005627069160749399,2519
Republic of Moldova,Chi?in?u,47.0056,28.8575,499,MDA,0.005,2495.0,1.0,0.0,2495
Ecuador,Santo Domingo,-0.2534,-79.1696,355,ECU,0.006999999999999999,2485.0,0.9966000366,0.010409609673693102,2451
Malaysia,Ipoh,4.5833,101.0833,814,MYS,0.003,2442.0,1.0,0.0,2442
Brazil,Macapá,0.0389,-51.0664,486,BRA,0.005,2430.0,1.0,0.0042300844605159,2420
Brazil,Caxias Do Sul,-29.1681,-51.1794,484,BRA,0.005,2420.0,1.0,0.0042300844605159,2410
Ukraine,Simferopol,44.9572,34.1108,340,UKR,0.006999999999999999,2380.0,1.0,0.0,2380
Brazil,Petrolina,-9.3986,-40.5008,477,BRA,0.005,2385.0,1.0,0.0042300844605159,2375
Colombia,Neiva,2.9273,-75.2819,357,COL,0.006999999999999999,2499.0,1.0,0.04991105651543679,2374
Ukraine,Makiivka,48.0478,37.9258,339,UKR,0.006999999999999999,2373.0,1.0,0.0,2373
Iran (Islamic Republic of),Khorramabad,33.4878,48.3558,394,IRN,0.006,2364.0,1.0,0.0005627069160749399,2363
Uzbekistan,Andizhan,40.7831,72.3439,443,UZB,0.008,3544.0,1.0,0.3432346480816828,2328
Brazil,Juazeiro Do Norte,-7.2131,-39.3153,461,BRA,0.005,2305.0,1.0,0.0042300844605159,2295
Venezuela (Bolivarian Republic of),San Cristóbal,7.7669,-72.225,471,VEN,0.005,2355.0,1.0,0.0337519616566383,2276
Brazil,Campos dos Goytacazes,-21.7664,-41.3196,451,BRA,0.005,2255.0,1.0,0.0042300844605159,2245
Bolivia (Plurinational State of),Oruro,-17.9833,-67.15,318,BOL,0.006999999999999999,2226.0,1.0,0.0023347065157998,2221
Brazil,Volta Redonda,-22.5231,-44.1042,445,BRA,0.005,2225.0,1.0,0.0042300844605159,2216
Iran (Islamic Republic of),Gorgan,36.8417,54.4436,368,IRN,0.006,2208.0,1.0,0.0005627069160749399,2207
Brazil,São José do Rio Preto,-20.8197,-49.3794,439,BRA,0.005,2195.0,1.0,0.0042300844605159,2186
Venezuela (Bolivarian Republic of),Guarenas-Guatire,10.4674,-66.6066,452,VEN,0.005,2260.0,1.0,0.0337519616566383,2184
Iran (Islamic Republic of),Shahriyar,35.6594,51.0592,364,IRN,0.006,2184.0,1.0,0.0005627069160749399,2183
Brazil,Maringá,-23.4253,-51.9386,420,BRA,0.005,2100.0,1.0,0.0042300844605159,2091
Brazil,Piracicaba,-22.7253,-47.6492,401,BRA,0.005,2005.0,1.0,0.0042300844605159,1997
Brazil,Campina Grande,-7.2306,-35.8811,400,BRA,0.005,2000.0,1.0,0.0042300844605159,1992
Iran (Islamic Republic of),Qods,35.713,51.1055,331,IRN,0.006,1986.0,1.0,0.0005627069160749399,1985
Brazil,Montes Claros,-16.735,-43.8617,398,BRA,0.005,1990.0,1.0,0.0042300844605159,1982
Iran (Islamic Republic of),Kashan,33.9831,51.4364,329,IRN,0.006,1974.0,1.0,0.0005627069160749399,1973
Venezuela (Bolivarian Republic of),Ciudad Bolivar,8.1292,-63.5409,402,VEN,0.005,2010.0,1.0,0.0337519616566383,1942
Iran (Islamic Republic of),Sari,36.5633,53.0601,321,IRN,0.006,1926.0,1.0,0.0005627069160749399,1925
Brazil,Anápolis,-16.3267,-48.9528,385,BRA,0.005,1925.0,1.0,0.0042300844605159,1917
Venezuela (Bolivarian Republic of),Cumana,10.4635,-64.1775,393,VEN,0.005,1965.0,1.0,0.0337519616566383,1899
Morocco,Rabat,34.0133,-6.8326,1885,MAR,0.001,1885.0,1.0,0.000248039848087371,1885
Brazil,Bauru,-22.3147,-49.0606,376,BRA,0.005,1880.0,1.0,0.0042300844605159,1872
Brazil,Rio Branco,-9.9747,-67.81,370,BRA,0.005,1850.0,1.0,0.0042300844605159,1842
Malaysia,Kuching,1.55,110.3333,612,MYS,0.003,1836.0,1.0,0.0,1836
Venezuela (Bolivarian Republic of),Barinas,8.6226,-70.2075,380,VEN,0.005,1900.0,1.0,0.0337519616566383,1836
Uzbekistan,Nukus,42.4531,59.6103,338,UZB,0.008,2704.0,1.0,0.3432346480816828,1776
Brazil,Franca,-20.5386,-47.4008,352,BRA,0.005,1760.0,1.0,0.0042300844605159,1753
Brazil,Ponta Grossa,-25.095,-50.1619,349,BRA,0.005,1745.0,1.0,0.0042300844605159,1738
Brazil,Blumenau,-26.9194,-49.0661,348,BRA,0.005,1740.0,1.0,0.0042300844605159,1733
Brazil,Boa Vista,2.8197,-60.6733,344,BRA,0.005,1720.0,1.0,0.0042300844605159,1713
Venezuela (Bolivarian Republic of),Merida,8.5952,-71.1434,344,VEN,0.005,1720.0,1.0,0.0337519616566383,1662
Brazil,Uberaba,-19.7483,-47.9319,333,BRA,0.005,1665.0,1.0,0.0042300844605159,1658
Malaysia,Kota Kinabalu,5.9782,116.1166,550,MYS,0.003,1650.0,1.0,0.0,1650
Brazil,Caruaru,-8.2833,-35.9761,331,BRA,0.005,1655.0,1.0,0.0042300844605159,1648
Venezuela (Bolivarian Republic of),Acarigua-Aruare,9.5545,-69.1956,339,VEN,0.005,1695.0,1.0,0.0337519616566383,1638
Brazil,Vitória da Conquista,-14.8661,-40.8394,328,BRA,0.005,1640.0,1.0,0.0042300844605159,1633
Iraq,Al-Mawsil (Mosul),36.335,43.1189,1630,IRQ,0.001,1630.0,1.0,0.0,1630
Brazil,Pelotas,-31.7719,-52.3425,326,BRA,0.005,1630.0,1.0,0.0042300844605159,1623
Brazil,Cascavel,-24.9558,-53.4553,314,BRA,0.005,1570.0,1.0,0.0042300844605159,1563
Brazil,Taubaté,-23.0264,-45.5553,313,BRA,0.005,1565.0,1.0,0.0042300844605159,1558
Malaysia,Kuantan,3.8077,103.326,503,MYS,0.003,1509.0,1.0,0.0,1509
Malaysia,Seremban,2.7297,101.9381,475,MYS,0.003,1425.0,1.0,0.0,1425
Iraq,Al-Basrah (Basra),30.4972,47.8149,1352,IRQ,0.001,1352.0,1.0,0.0,1352
Morocco,Fès,34.0372,-4.9998,1224,MAR,0.001,1224.0,1.0,0.000248039848087371,1224
United Arab Emirates,Al-Ain,24.1917,55.7606,611,ARE,0.002,1222.0,1.0,0.0,1222
Morocco,Tanger,35.7847,-5.8128,1198,MAR,0.001,1198.0,1.0,0.000248039848087371,1198
Libya,Tarabulus (Tripoli),32.8752,13.1875,1165,LBY,0.001,1165.0,1.0,0.0,1165
Malaysia,Kuala Terengganu,5.3302,103.1408,384,MYS,0.003,1152.0,1.0,0.0,1152
Malaysia,Sandakan,5.8402,118.1179,375,MYS,0.003,1125.0,1.0,0.0,1125
Armenia,Yerevan,40.182,44.5146,1086,ARM,0.001,1086.0,0.9995941161999999,0.0,1086
Azerbaijan,Sumquayit,40.5897,49.6686,354,AZE,0.003,1062.0,1.0,0.0,1062
